Mouse,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
Ankrd45,478,207,68,623,440,521
Klhl20,128,506,165,301,185,228
Cenpl,35,1,2,27,1,21
Dars2,178,106,12,182,143,128
Snord47,0,0,0,0,0,0
Gas5,415,216,737,541,404,652
Zbtb37,159,74,70,222,154,401
Serpinc1,0,0,0,0,0,0
Rc3h1,1584,661,995,796,881,1171
Gpr52,0,32,0,104,116,84
Mir1927,0,0,0,0,0,0
Rabgap1l,1337,1118,1927,2291,1631,2409
Cacybp,599,327,811,1093,531,690
Mrps14,25,374,475,211,162,162
Tnn,0,0,5,0,7,0
4930562F07Rik,0,0,0,0,0,0
4930523C07Rik,193,172,333,10,33,62
Gm37294,0,0,0,0,0,0
Gm31667,0,0,0,0,0,0
Gm31493,0,0,0,0,0,0
Gm31348,0,0,0,0,0,0
Tnr,1517,2393,2738,6202,4593,4643
Mir1843b,0,0,0,0,0,0
Scarna3a,0,0,0,0,0,0
Rfwd2,735,646,540,711,632,441
4930562F17Rik,0,0,0,0,0,0
Gm39687,0,0,0,0,0,0
Pappa2,74,8,1,154,27,28
Mir488,0,0,0,0,0,0
Astn1,4033,3082,3209,5181,4547,4540
Brinp2,454,367,471,1378,1085,1013
Gm39686,0,0,0,0,0,0
Gm30903,0,0,0,0,0,0
Sec16b,0,0,34,0,37,0
Gm15486,0,0,0,0,0,0
BC026585,0,57,82,55,51,103
2810025M15Rik,308,249,224,33,23,65
Rasal2,1616,1583,1938,2478,1449,1846
Gm30694,0,0,0,0,0,0
Tex35,0,0,0,0,0,0
Gm30568,0,0,0,0,0,0
Gm39685,0,0,0,0,0,0
4930439D14Rik,0,0,0,0,0,0
Angptl1,0,0,10,17,0,26
Ralgps2,126,467,479,711,451,435
Gm39683,0,0,0,0,0,0
Fam20b,1119,894,1896,2137,1523,1913
Tor3a,225,156,185,53,69,168
Abl2,343,912,1034,1157,936,766
Gm39682,0,0,0,0,0,0
Soat1,73,113,252,174,104,128
Axdnd1,0,0,0,0,2,0
Nphs2,0,0,0,0,0,0
Tdrd5,0,1,40,0,15,81
Gm30472,0,0,0,0,0,0
Fam163a,16,136,116,131,123,128
Tor1aip2,1159,879,600,381,350,548
Tor1aip1,333,296,813,511,330,370
Cep350,1226,1192,2240,1655,1396,1882
Qsox1,570,223,553,83,178,105
Lhx4,0,0,0,0,0,0
Acbd6,59,109,157,265,141,350
Gm5532,0,0,0,0,0,0
Gm31772,0,0,0,0,0,0
Gm31713,0,0,0,0,0,0
Xpr1,1149,2740,2090,2448,2372,2606
Gm31102,15,0,0,0,0,0
BC034090,4,83,86,78,113,122
LOC108167738,0,0,27,0,0,0
Stx6,478,110,404,378,298,369
Mr1,200,36,180,13,27,44
Gm30922,0,0,0,0,0,0
Gm41981,0,0,0,0,0,0
Ier5,727,469,376,1071,731,412
Gm9530,0,1,1,0,3,23
Gm41979,0,0,0,0,0,0
Gm41980,0,0,5,5,4,0
Gm41977,0,67,0,0,0,0
Gm30602,0,0,0,0,0,0
Gm41976,0,0,0,0,0,0
Gm30521,0,0,0,0,0,0
Cacna1e,2309,3700,2661,5874,4321,4668
Gm30465,0,0,0,0,0,0
4930532M18Rik,0,0,0,0,0,0
4930452N14Rik,0,0,0,0,0,0
Zfp648,0,0,88,0,0,9
Gm30388,0,0,0,0,15,0
LOC108167737,0,0,5,25,0,0
LOC108167736,72,0,0,99,12,2
Gm30327,0,0,0,0,0,0
Glul,22790,23396,28408,20738,20133,22415
Mir8114,0,0,0,0,0,0
Gm38440,0,0,0,0,12,20
Teddm1a,0,0,0,0,0,0
Teddm1b,0,0,0,0,0,0
Teddm2,0,3,0,18,0,5
Gm41974,0,0,0,0,0,0
Rgsl1,0,20,16,51,64,52
Rnasel,47,112,168,143,70,205
Rgs16,0,2,112,25,38,176
C230024C17Rik,0,0,0,0,0,1
Rgs8,287,672,428,822,767,1048
LOC108167735,0,0,0,0,0,0
Npl,107,3,70,39,30,12
n-TIaat13,0,0,0,0,0,0
Dhx9,1689,1830,2272,1823,1740,1436
Shcbp1l,106,0,2,40,4,0
E330020D12Rik,0,0,23,1,1,11
LOC108167838,0,0,0,0,0,0
Lamc1,2374,1745,1568,332,372,507
Lamc2,13,74,124,202,199,129
Nmnat2,737,1480,986,1233,1166,1544
Gm29954,0,0,0,0,0,0
Smg7,2120,792,920,1142,921,1246
Ncf2,66,113,102,0,3,5
Arpc5,684,360,372,456,312,366
Apobec4,0,0,0,0,0,0
LOC108167734,0,0,2,0,0,0
Rgl1,659,1099,758,776,809,989
Colgalt2,187,165,138,51,114,181
Tsen15,305,49,188,204,92,103
Gm41970,0,0,0,0,0,1
Gm36920,0,0,0,0,0,0
1700025G04Rik,892,641,497,861,842,1109
Gm25279,0,0,0,0,0,0
Edem3,678,1009,1665,1524,1251,1296
LOC102640772,0,0,0,50,3,0
Gm41969,0,0,0,0,0,0
Fam129a,194,148,107,24,92,8
Gm36527,26,19,4,51,54,27
Rnf2,271,274,414,214,307,299
Mir7682,0,93,0,0,2,0
Trmt1l,358,328,149,324,249,225
Swt1,194,110,124,198,107,144
