Human,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
KDM5A,5.327549791489863,13.376390023013332,11.838194817985118,4.941305277094329,8.828478327919436,10.816685190980147
LOC102723544,0.0,0.0,0.0,0.0,0.0,0.0
SLC6A13,9.800196197443421,3.4552799715488067,9.640042355143324,1.6700211156133844,0.8594256235132552,0.08238911732385293
LOC101929384,0.0,0.0,0.0,0.0,0.0,0.0
SLC6A12,24.136218826849454,11.370626047123581,9.776941325533341,1.0395261130968632,3.248219894479347,0.29016040874970134
LOC105369592,0.0,0.0,0.0,0.0,0.0,0.0
LOC574538,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369593,0.0,0.0,0.0,0.0,0.0,0.0
IQSEC3,3.9372928682649175,0.6209625889093643,2.1754530469858,13.370455295162722,3.4021581568253856,6.500973403182794
FAM138D,0.0,0.0,0.0,0.0,0.0,0.0
LOC107987170,0.0,0.0,0.0,0.0,0.0,0.0
LOC100288778,0.7072505916151199,0.0,2.1763430050504757,2.166377282973924,0.0,0.0
LOC105369589,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369587,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369588,0.0,0.0,0.0,0.0,0.0,0.0
LOC100507548,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369586,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369584,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369583,0.0,0.0,0.0,0.0,0.0,0.0
LOC283177,0.0323004471873913,0.0,6.11658751876135,1.382903092541771,0.03640900589199511,0.0
B3GAT1,12.240875624107844,5.551419248311641,7.032634237631582,28.85931562657105,15.330992173290864,10.322909650105641
GLB1L2,0.0,0.0,0.0,0.4389525765852879,0.11845640312200965,0.0
GLB1L3,0.068447138395703,0.040697184229775224,0.0,0.22872025707796434,0.01543069822334943,0.015162506339330941
ACAD8,4.253168336884261,6.199106024942333,0.6463593940495648,1.468918601621665,4.234533686201923,4.454217563323477
THYN1,11.2706662075733,0.6778765329002282,5.628685993165239,13.265922390422405,13.218320444178564,2.8863512436079355
VPS26B,12.670149487468935,3.2044140867407607,1.1072156110350406,20.111433502104763,12.585379703332977,10.00143613459702
NCAPD3,1.8770819102173322,4.741208968776404,2.889737295179815,1.8274799659360752,1.3522307113255434,1.00045431355708
LOC102725195,0.0,0.0,0.0,0.0,0.0,0.0
LOC107984040,0.0,0.0,0.0,0.0,0.0,0.0
JAM3,23.8128266260816,3.1527225445090212,11.096455689600221,10.142812744418382,7.634148638090449,19.914918645254033
LOC105369582,0.0,0.0,0.0,0.0,0.0,0.0
LOC100128239,0.0,3.886890881122317,0.0,1.1645059587341051,0.0,0.0
LOC107984414,0.0,0.0,0.0,0.0,0.0,0.0
IGSF9B,0.18009676539030914,0.0,0.0,4.104216453697739,0.3463022198520465,0.8800431330682973
MIR4697,0.0,0.0,0.0,0.0,0.0,0.0
MIR4697HG,6.014829051381885,2.699551763794934,0.05915861773999888,16.372125546752894,1.3522247148699822,2.011538218506316
SPATA19,0.0,0.0,0.0,0.0,0.0,0.0
LOC646522,0.0,0.0,0.0,0.0,0.0,0.0
LOC105369580,0.0,0.0,0.0,0.0,0.0,0.0
OPCML,3.5257121691163857,2.728447321548436,0.6990514843028819,11.652332048625617,1.6132288248953153,2.838245389547803
NTM-IT,0.0,0.0,25.610157945557223,0.0,0.0,0.0
LOC107984413,0.0,0.0,0.026664596137311758,0.047052606403207624,0.0,0.0
NTM-AS1,0.0,0.0,0.0,4.901798960872213,3.9684205404314845,0.0
LOC101929653,0.0,0.0,0.0,0.0,0.25286411543028764,0.0
NTM,4.751919243286261,3.7734733058993317,2.412992815631956,8.126631972504896,19.86948312624192,12.863792007832059
LOC107984412,0.0,0.0,0.0,0.0,0.0,0.0
